Year,Name,Contribution_Type,Inductee_Type,Games,Points_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,FG%,3P%,FT%,Games_Coached,Wins_Coached,Losses_Coached,Win_Loss
1988,Wes Unseld ,Player / Coach / Exec / CBB player,Player,984,10.8,14,3.9,1.1,0.6,0.509,,0.633,,,,
1987,Rick Barry ,Player / CBB player,Player,1020,24.8,6.7,4.9,2,0.5,0.456,,0.893,,,,
1987,Walt Frazier,Player / CBB player,Player,825,18.9,5.9,6.1,1.9,0.2,0.49,,0.786,,,,
1987,Bob Houbregs,Player / Exec,Player,281,9.3,5.5,1.8,,,0.404,,0.721,,,,
1987,Pete Maravich ,Player / CBB player,Player,658,24.2,4.2,5.4,1.4,0.3,0.441,,0.82,,,,
1987,Bobby Wanzer ,Player / Coach,Player,568,12.2,4.5,3.2,,,0.393,,0.802,,,,
1986,Billy Cunningham ,Player / Coach,Player,770,21.2,10.4,4.3,1.8,0.5,0.452,,0.73,,,,
1986,Tom Heinsohn ,Player / Coach / CBB player,Player,654,18.6,8.8,2,,,0.405,,0.79,,,,
1986,Red Holzman ,Player / Coach / Exec / CBB player,Coach,,,,,,,,,,1299,696,603,0.536
1986,Red Mihalik,,Referee,,,,,,,,,,,,,
1986,Fred Taylor,CBB coach,Coach,,,,,,,,,,,,,
1986,Stanley Watts ,CBB coach,Coach,,,,,,,,,,,,,
1985,Harold Anderson ,CBB coach,Coach,,,,,,,,,,,,,
1985,Senda Berenson Abbott,,Contributor,,,,,,,,,,,,,
1985,Al Cervi,Player / Coach,Player,202,7.9,1.8,3.2,,,0.359,,0.839,,,,
1985,Marv Harshman ,CBB coach,Coach,,,,,,,,,,,,,
1985,Bertha Teague,,Contributor,,,,,,,,,,,,,
1985,Nate Thurmond ,Player / CBB player,Player,964,15,15,2.7,0.5,2.1,0.421,,0.667,,,,
1985,Margaret Wade,,Coach,,,,,,,,,,,,,
1984,Clifford Fagan,,Contributor,,,,,,,,,,,,,
1984,Jack Gardner ,CBB coach,Coach,,,,,,,,,,,,,
1984,John Havlicek ,Player / CBB player,Player,1270,20.8,6.3,4.8,1.2,0.3,0.439,,0.815,,,,
1984,Sam Jones ,Player,Player,871,17.7,4.9,2.5,,,0.456,,0.803,,,,
1984,Edward Steitz,,Contributor,,,,,,,,,,,,,
1983,Bill Bradley ,Player / Oly,Player,742,12.4,3.2,3.4,0.7,0.2,0.448,,0.84,,,,
1983,Dave DeBusschere ,Player / Coach / Exec / CBB player,Player,875,16.1,11,2.9,0.9,0.5,0.432,,0.699,,,,
1983,Lloyd Leith,,Referee,,,,,,,,,,,,,
1983,Dean Smith ,CBB coach,Coach,,,,,,,,,,,,,
1983,Jack Twyman ,Player / CBB player,Player,823,19.2,6.6,2.3,,,0.45,,0.778,,,,
1983,Louis Wilke,,Contributor,,,,,,,,,,,,,
1982,Everett Case ,CBB coach,Coach,,,,,,,,,,,,,
1982,Alva Duer ,CBB coach,Contributor,,,,,,,,,,,,,
1982,Clarence Gaines,,Coach,,,,,,,,,,,,,
1982,Hal Greer ,Player / CBB player,Player,1122,19.2,5,4,,,0.452,,0.801,,,,
1982,Slater Martin ,Player / Coach / CBB player,Player,745,9.8,3.4,4.2,,,0.364,,0.762,,,,
1982,Frank Ramsey ,Player / Coach,Player,623,13.4,5.5,1.8,,,0.399,,0.804,,,,
1982,Willis Reed ,Player / Coach / Exec ,Player,650,18.7,12.9,1.8,0.6,1.1,0.476,,0.747,,,,
1981,Thomas Barlow,,Player,,,,,,,,,,,,,
1981,Ferenc Hepp,,Contributor,,,,,,,,,,,,,
1981,Walter Kennedy,,Contributor,,,,,,,,,,,,,
1981,Arad McCutchan,,Coach,,,,,,,,,,,,,
1980,Les Harrison ,Coach / Exec,Contributor,,,,,,,,,,,,,
1980,Jerry Lucas ,Player / Oly / CBB player,Player,829,17,15.6,3.3,0.4,0.3,0.499,,0.783,,,,
1980,Oscar Robertson ,CBB coach,Player,1040,25.7,7.5,9.5,1.1,0.1,0.485,,0.838,,,,
1980,Everett Shelton ,,Coach,,,,,,,,,,,,,
1980,Dallas Shirley,,Referee,,,,,,,,,,,,,
1980,Jerry West ,Player / Coach / Exec / Oly / CBB player,Player,932,27,5.8,6.7,2.6,0.7,0.474,,0.814,,,,
1979,Sam Barry ,CBB coach,Coach,,,,,,,,,,,,,
1979,Wilt Chamberlain ,Player / Coach / CBB player,Player,1045,30.1,22.9,4.4,,,0.54,,0.511,,,,
1979,James Enright,,Referee,,,,,,,,,,,,,
1979,Edgar Hickey ,CBB coach,Coach,,,,,,,,,,,,,
1979,John McLendon ,Coach,Contributor,,,,,,,,,,,,,
1979,Ray Meyer ,CBB coach,Coach,,,,,,,,,,,,,
1979,Pete Newell ,Exec / CBB coach,Coach,,,,,,,,,,,,,
1978,Paul Arizin ,Player / CBB player,Player,713,22.8,8.6,2.3,,,0.421,,0.81,,,,
1978,Joe Fulks ,Player,Player,489,16.4,5.3,1.2,,,0.302,,0.766,,,,
1978,Cliff Hagan ,Player / Coach / CBB player,Player,839,17.7,6.6,3.2,,,0.454,,0.799,,,,
1978,John Nucatola,,Referee,,,,,,,,,,,,,
1978,Jim Pollard ,Player / Coach / Exec / CBB player / CBB coach,Player,438,13.2,7.8,3.2,,,0.36,,0.75,,,,
1977,Elgin Baylor ,Player / Coach / Exec / CBB player,Player,846,27.4,13.5,4.3,,,0.431,,0.78,,,,
1977,"Charles ""Tarzan"" Cooper",,Contributor,,,,,,,,,,,,,
1977,Lauren Gale ,NBL,Player,,,,,,,,,,,,,
1977,William Johnson,,Player,,,,,,,,,,,,,
1977,Frank McGuire,Coach / CBB coach,Coach,,,,,,,,,,80,49,31,0.613
1976,Tom Gola ,Player / CBB coach,Player,698,11.3,8,4.2,,,0.431,,0.76,,,,
1976,Ed Krause ,CBB coach,Player,,,,,,,,,,,,,
1976,Harry Litwack ,CBB coach,Coach,,,,,,,,,,,,,
1976,Bill Sharman ,Player / Coach / Exec / CBB player,Player,711,17.8,3.9,3,,,0.426,,0.883,,,,
1975,Joseph Brennan ,CBB coach,Player,,,,,,,,,,,,,
1975,Emil Liston,,Contributor,,,,,,,,,,,,,
1975,Bill Russell ,Player / Coach / Exec / Oly / CBB player,Player,963,15.1,22.5,4.3,,,0.44,,0.561,,,,
1975,Robert Vandivier,,Player,,,,,,,,,,,,,
1974,Harry Fisher ,CBB coach,Contributor,,,,,,,,,,,,,
1974,Maurice Podoloff,,Contributor,,,,,,,,,,,,,
1974,Ernest Schmidt,,Player,,,,,,,,,,,,,
1973,John Beckman,,Player,,,,,,,,,,,,,
1973,Bruce Drake,CBB coach,Coach,,,,,,,,,,,,,
1973,Arthur Lonborg ,CBB coach,Coach,,,,,,,,,,,,,
1973,Elmer Ripley ,CBB coach,Contributor,,,,,,,,,,,,,
1973,Dolph Schayes ,Player / Coach / CBB player,Player,996,18.5,12.1,3.1,,,0.38,,0.849,,,,
1973,John Wooden ,NBL / CBB coach,Coach,,,,,,,,,,,,,
1972,Edgar Diddle ,CBB coach,Coach,,,,,,,,,,,,,
1972,Robert Douglas,,Contributor,,,,,,,,,,,,,
1972,Paul Endacott,,Player,,,,,,,,,,,,,
1972,Max Friedman,,Player,,,,,,,,,,,,,
1972,Edward Gottlieb ,Coach / Exec,Contributor,,,,,,,,,,,,,
1972,Clifford Wells ,CBB coach,Contributor,,,,,,,,,,,,,
1971,Bob Cousy ,Player / Coach / CBB player / CBB coach,Player,924,18.4,5.2,7.5,,,0.375,,0.803,,,,
1971,Bob Pettit ,Player / Coach / CBB player,Player,792,26.4,16.2,3,,,0.436,,0.761,,,,
1971,Abe Saperstein,,Contributor,,,,,,,,,,,,,
1970,Bernard Carnevale ,CBB coach,Coach,,,,,,,,,,,,,
1970,Bob Davies ,Player / CBB player / CBB coach,Player,462,14.3,2.9,4.9,,,0.378,,0.759,,,,
1969,Red Auerbach ,Coach / Exec,Coach,,,,,,,,,,1419,938,481,0.661
1969,Dutch Dehnert ,Coach,Player,,,,,,,,,,,,,
1969,Henry Iba,CBB coach,Coach,,,,,,,,,,,,,
1969,Adolph Rupp ,,Coach,,,,,,,,,,,,,
1969,Charles Taylor,,Contributor,,,,,,,,,,,,,
1968,Clair Bee ,Coach / Exec / CBB coach,Contributor,,,,,,,,,,,,,
1968,Howard Cann ,CBB coach,Coach,,,,,,,,,,,,,
1968,Amory Gill ,CBB coach,Coach,,,,,,,,,,,,,
1968,Alvin Julian ,Coach / CBB coach,Coach,,,,,,,,,,128,47,81,0.367
1966,Everett Dean ,CBB coach,Coach,,,,,,,,,,,,,
1966,Joe Lapchick ,Coach / CBB coach,Player,,,,,,,,,,,,,
1965,Walter Brown ,Exec,Contributor,,,,,,,,,,,,,
1965,Paul Hinkle ,CBB coach,Contributor,,,,,,,,,,,,,
1965,Howard Hobson ,CBB coach,Coach,,,,,,,,,,,,,
1965,William Mokray,,Contributor,,,,,,,,,,,,,
1964,John Bunn ,CBB coach,Contributor,,,,,,,,,,,,,
1964,Harold Foster ,CBB coach,Player,,,,,,,,,,,,,
1964,Nat Holman ,CBB coach,Player,,,,,,,,,,,,,
1964,Ned Irish ,Exec,Contributor,,,,,,,,,,,,,
1964,William Jones,,Contributor,,,,,,,,,,,,,
1964,Ken Loeffler ,Coach / CBB coach,Coach,,,,,,,,,,169,79,90,0.467
1964,John Russell ,Coach,Player,,,,,,,,,,,,,
1963,New York Rens,,Team,,,,,,,,,,,,,
1963,Robert Gruenig,,Player,,,,,,,,,,,,,
1963,William Reid ,CBB coach,Contributor,,,,,,,,,,,,,
1962,Jack McCracken,,Player,,,,,,,,,,,,,
1962,Frank Morgenweck,,Contributor,,,,,,,,,,,,,
1962,Harlan Page ,CBB coach,Player,,,,,,,,,,,,,
1962,Barney Sedran,,Player,,,,,,,,,,,,,
1962,Lynn St. John ,CBB coach,Contributor,,,,,,,,,,,,,
1962,"John ""Cat"" Thompson",,Player,,,,,,,,,,,,,
1961,Buffalo Germans,,Team,,,,,,,,,,,,,
1961,Bernard Borgmann,,Player,,,,,,,,,,,,,
1961,Forrest DeBernardi,,Player,,,,,,,,,,,,,
1961,George Hoyt,,Referee,,,,,,,,,,,,,
1961,George Keogan ,CBB coach,Coach,,,,,,,,,,,,,
1961,Bob Kurland,,Player,,,,,,,,,,,,,
1961,John O'Brien,,Contributor,,,,,,,,,,,,,
1961,Andy Phillip ,Player / Coach,Player,701,9.1,4.4,5.4,,,0.368,,0.695,,,,
1961,Ernest Quigley,,Referee,,,,,,,,,,,,,
1961,John Roosma,,Player,,,,,,,,,,,,,
1961,Leonard Sachs ,CBB coach,Coach,,,,,,,,,,,,,
1961,Arthur Schabinger,,Contributor,,,,,,,,,,,,,
1961,Christian Steinmetz,,Player,,,,,,,,,,,,,
1961,David Tobey,,Referee,,,,,,,,,,,,,
1961,Arthur Trester,,Contributor,,,,,,,,,,,,,
1961,Edward Wachter,CBB coach,Player,,,,,,,,,,,,,
1961,David Walsh,,Referee,,,,,,,,,,,,,
1960,Ernest Blood ,CBB coach,Coach,,,,,,,,,,,,,
1960,Victor Hanson,,Player,,,,,,,,,,,,,
1960,George Hepbron,,Referee,,,,,,,,,,,,,
1960,Frank Keaney ,CBB coach,Coach,,,,,,,,,,,,,
1960,Ward Lambert ,CBB coach,Coach,,,,,,,,,,,,,
1960,Ed Macauley ,Player / Coach / CBB player,Player,641,17.5,7.5,3.2,,,0.436,,0.761,,,,
1960,Branch McCracken ,CBB coach,Player,,,,,,,,,,,,,
1960,Charles Murphy,,Player,,,,,,,,,,,,,
1960,Henry Porter,,Contributor,,,,,,,,,,,,,
1960,John Wooden,NBL / CBB coach,Player,,,,,,,,,,,,,
1959,Original Celtics,,Team,,,,,,,,,,,,,
1959,The First Team,,Team,,,,,,,,,,,,,
1959,Phog Allen ,,Coach,,,,,,,,,,,,,
1959,Henry Clifford Carlson ,,Coach,,,,,,,,,,,,,
1959,Luther Gulick,,Contributor,,,,,,,,,,,,,
1959,Edward Hickox,,Contributor,,,,,,,,,,,,,
1959,Charles Hyatt,,Player,,,,,,,,,,,,,
1959,Matthew Kennedy,,Referee,,,,,,,,,,,,,
1959,Hank Luisetti,,Player,,,,,,,,,,,,,
1959,Walter Meanwell ,CBB coach,Coach,,,,,,,,,,,,,
1959,George Mikan ,Player / Coach / Exec / CBB player,Player,439,23.1,13.4,2.8,,,0.404,,0.782,,,,
1959,Ralph Morgan,,Contributor,,,,,,,,,,,,,
1959,James Naismith ,CBB coach,Contributor,,,,,,,,,,,,,
1959,Harold Olsen ,Coach / CBB coach,Contributor,,,,,,,,,,,,,
1959,John Schommer,,Player,,,,,,,,,,,,,
1959,Amos Alonzo Stagg ,CBB coach,Contributor,,,,,,,,,,,,,
1959,Oswald Tower,,Contributor,,,,,,,,,,,,,
